imgCount,embedCount,pCount,wordCount,successFail
4,0,26,374,FAIL
31,0,64,1463,FAIL
12,0,10,187,SUCCESS
62,19,78,2443,SUCCESS
8,0,61,1531,FAIL
6,0,27,438,FAIL
42,0,56,2248,SUCCESS
20,0,49,791,FAIL
35,10,53,1475,SUCCESS
2,0,29,476,FAIL
15,0,40,827,SUCCESS
47,3,83,3033,SUCCESS
27,0,74,1660,SUCCESS
27,6,16,372,FAIL
20,2,66,1568,FAIL
14,0,23,238,FAIL
6,0,73,2248,FAIL
26,3,40,1006,SUCCESS
16,0,84,3047,SUCCESS
3,1,38,599,FAIL
16,1,56,1315,SUCCESS
11,0,82,1202,FAIL
26,0,58,959,SUCCESS
13,0,64,1845,SUCCESS
43,0,136,2484,SUCCESS
20,3,48,1430,FAIL
13,1,40,1277,FAIL
20,0,30,873,SUCCESS
35,5,86,2357,FAIL
23,0,89,2347,SUCCESS
1,1,88,3445,FAIL
23,0,41,1502,FAIL
17,0,52,1409,FAIL
27,0,40,1085,FAIL
13,1,73,2758,FAIL
16,0,32,723,SUCCESS
9,0,20,411,FAIL
54,0,115,3117,FAIL
44,0,64,1455,SUCCESS
41,0,131,2896,FAIL
13,0,61,1457,FAIL
11,0,76,2281,SUCCESS
62,0,88,1763,SUCCESS
7,1,55,1677,SUCCESS
43,0,162,4702,SUCCESS
16,0,52,1235,SUCCESS
7,1,56,1038,FAIL
37,9,51,1110,FAIL
4,0,26,845,FAIL
16,2,30,728,FAIL
0,0,80,1332,FAIL
26,0,41,1380,SUCCESS
16,2,78,1413,FAIL
21,0,73,2251,FAIL
17,0,35,756,SUCCESS
43,0,51,1041,SUCCESS
11,0,101,1908,SUCCESS
17,0,69,1889,SUCCESS
0,0,17,376,FAIL
5,0,33,715,FAIL
4,0,51,621,SUCCESS
3,0,49,960,SUCCESS
5,0,35,638,FAIL
19,0,26,675,SUCCESS
3,0,105,2394,SUCCESS
10,5,59,1718,SUCCESS
18,0,70,1589,SUCCESS
49,0,69,1631,SUCCESS
53,1,95,3072,FAIL
16,0,36,1266,SUCCESS
29,0,41,927,SUCCESS
12,0,37,888,FAIL
6,0,21,1843,FAIL
11,0,84,2383,SUCCESS
59,0,66,717,SUCCESS
40,0,72,1787,SUCCESS
69,1,72,2230,SUCCESS
7,0,74,1607,FAIL
22,0,91,1175,FAIL
15,1,30,935,FAIL
8,0,42,916,SUCCESS
85,0,179,3609,SUCCESS
36,0,92,2188,SUCCESS
6,0,32,773,FAIL
8,0,30,590,FAIL
15,0,36,1361,FAIL
16,0,153,2471,SUCCESS
23,3,35,845,SUCCESS
10,0,47,1608,SUCCESS
34,0,84,4458,FAIL
46,2,43,995,SUCCESS
25,7,49,979,SUCCESS
14,0,28,519,FAIL
16,1,50,1123,FAIL
18,0,43,677,FAIL
5,0,50,1534,SUCCESS
1,0,29,631,SUCCESS
15,0,89,1781,SUCCESS
14,1,31,490,FAIL
19,0,106,2800,FAIL
22,0,35,588,FAIL
10,0,76,1613,FAIL
39,4,87,4563,SUCCESS
18,0,33,568,FAIL
13,4,56,1563,FAIL
30,3,12,272,SUCCESS
7,0,43,912,FAIL
20,1,78,2557,FAIL
7,0,57,1219,SUCCESS
43,3,33,768,SUCCESS
18,6,42,838,SUCCESS
21,0,79,1874,SUCCESS
34,4,89,2775,SUCCESS
6,0,34,710,FAIL
21,0,26,647,SUCCESS
67,3,39,1214,SUCCESS
21,10,31,600,SUCCESS
28,5,54,1153,SUCCESS
38,0,102,2638,SUCCESS
22,0,59,851,SUCCESS
43,5,92,2273,SUCCESS
16,0,35,638,SUCCESS
17,2,74,2256,SUCCESS
11,0,41,1400,SUCCESS
9,0,82,1775,FAIL
36,3,38,1018,FAIL
41,2,53,1312,SUCCESS
17,0,51,1301,SUCCESS
19,0,41,868,FAIL
11,0,85,3224,SUCCESS
68,0,176,2107,SUCCESS
77,7,77,1525,FAIL
42,0,118,3587,FAIL
13,0,49,848,SUCCESS
0,0,60,1554,FAIL
2,0,42,965,FAIL
47,0,55,1149,SUCCESS
15,0,62,1316,SUCCESS
3,0,37,722,FAIL
17,0,69,2004,FAIL
1,0,41,1009,FAIL
13,0,33,876,SUCCESS
20,0,39,1298,FAIL
13,0,34,758,SUCCESS
13,8,28,526,FAIL
48,4,104,3850,SUCCESS
39,3,87,2870,FAIL
20,0,75,1670,SUCCESS
5,0,24,542,FAIL
9,0,54,1252,FAIL
71,0,43,526,SUCCESS
39,0,72,925,SUCCESS
4,0,15,652,FAIL
0,0,72,1212,SUCCESS
26,0,25,826,FAIL
17,1,72,930,SUCCESS
22,0,49,1472,FAIL
18,0,31,384,FAIL
7,0,42,1239,FAIL
37,0,167,5891,SUCCESS
36,0,129,3424,SUCCESS
7,0,48,1502,FAIL
7,0,28,593,SUCCESS
42,0,79,2392,SUCCESS
8,1,45,1117,FAIL
1,0,30,872,SUCCESS
20,2,37,862,SUCCESS
44,0,52,1028,SUCCESS
19,0,47,1095,FAIL
15,3,23,395,FAIL
12,0,67,1730,SUCCESS
15,0,48,1530,SUCCESS
65,4,76,2680,SUCCESS
5,1,30,1225,SUCCESS
79,12,75,2072,SUCCESS
0,0,46,1392,FAIL
4,0,53,1256,FAIL
4,0,40,819,SUCCESS
2,0,28,1031,SUCCESS
14,0,49,863,SUCCESS
13,0,64,1457,SUCCESS
5,0,56,1697,FAIL
6,0,39,1340,SUCCESS
19,0,59,1793,SUCCESS
2,0,35,1049,FAIL
4,0,37,924,SUCCESS
3,0,31,934,SUCCESS
22,0,65,2114,SUCCESS
13,3,59,920,SUCCESS
11,3,34,786,SUCCESS
56,6,176,4690,SUCCESS
32,0,49,1020,SUCCESS
11,0,47,405,SUCCESS
2,0,31,862,FAIL
0,0,1,4,SUCCESS
8,0,55,1466,SUCCESS
5,0,43,813,FAIL
5,0,19,508,SUCCESS
14,0,55,2021,FAIL
14,0,62,2806,SUCCESS
22,0,43,1001,FAIL
8,0,33,677,SUCCESS
14,4,43,1562,SUCCESS
2,0,51,1502,SUCCESS
17,0,54,1063,FAIL
3,0,38,913,SUCCESS
32,2,81,2778,FAIL
20,0,71,1795,FAIL
15,1,101,3189,FAIL
14,15,81,2398,SUCCESS
16,0,81,2102,FAIL
37,4,51,1225,SUCCESS
0,0,12,314,FAIL
9,0,57,1570,SUCCESS
25,0,46,957,SUCCESS
23,1,99,3264,SUCCESS
19,0,101,2197,SUCCESS
41,4,102,2069,SUCCESS
18,4,41,795,SUCCESS
13,0,44,1208,SUCCESS
42,6,115,3557,SUCCESS
54,0,74,1822,SUCCESS
11,0,66,2535,FAIL
0,0,41,932,FAIL
29,3,50,1297,FAIL
18,0,38,1130,SUCCESS
7,0,28,585,FAIL
10,3,53,833,SUCCESS
17,0,50,2174,FAIL
15,0,52,2048,SUCCESS
11,0,31,819,SUCCESS
0,0,52,1109,FAIL
7,0,43,806,SUCCESS
19,1,37,1142,FAIL
2,0,27,878,SUCCESS
4,0,27,638,FAIL
65,7,121,2356,SUCCESS
15,2,49,819,SUCCESS
0,0,33,635,SUCCESS
2,0,41,1517,SUCCESS
23,0,50,1045,SUCCESS
12,0,46,916,SUCCESS
25,0,61,1619,FAIL
3,0,17,307,FAIL
7,1,35,1035,SUCCESS
52,6,48,1864,FAIL
11,0,88,3301,FAIL
50,0,104,5171,SUCCESS
10,2,118,2479,SUCCESS
4,1,35,689,SUCCESS
19,0,41,855,SUCCESS
16,1,57,1165,SUCCESS
9,0,66,1864,SUCCESS
50,0,28,309,SUCCESS
10,0,23,649,SUCCESS
33,0,61,1539,FAIL
13,5,17,408,FAIL
46,0,51,1780,SUCCESS
4,0,25,893,SUCCESS
23,0,35,802,SUCCESS
0,0,46,810,SUCCESS
3,0,12,471,SUCCESS
19,6,58,1728,SUCCESS
20,0,30,946,SUCCESS
8,0,69,880,SUCCESS
0,0,19,241,SUCCESS
21,8,17,589,SUCCESS
4,0,24,1090,FAIL
6,0,45,2039,SUCCESS
17,1,53,1353,FAIL
6,0,38,570,FAIL
22,0,65,2480,SUCCESS
9,0,48,1535,SUCCESS
32,0,50,668,SUCCESS
26,0,29,459,SUCCESS
5,0,12,238,SUCCESS
7,0,28,524,SUCCESS
12,0,47,1244,SUCCESS
23,0,92,1311,SUCCESS
19,0,76,1006,FAIL
9,0,32,234,FAIL
5,0,40,1360,SUCCESS
43,0,42,740,SUCCESS
11,0,37,1077,SUCCESS
6,0,16,302,SUCCESS
16,1,80,2264,SUCCESS
14,0,79,1912,SUCCESS
26,0,88,2918,FAIL
60,3,60,1834,SUCCESS
6,0,17,232,FAIL
5,0,109,1733,SUCCESS
39,15,77,1660,SUCCESS
43,0,165,4201,SUCCESS
28,0,48,1928,FAIL
25,6,45,1157,FAIL
26,0,43,2016,SUCCESS
0,0,37,642,FAIL
18,1,60,2101,SUCCESS
29,0,63,1038,FAIL
17,1,34,566,FAIL
24,0,128,4196,SUCCESS
34,0,42,1314,SUCCESS
28,6,43,941,FAIL
23,0,81,1591,SUCCESS
59,9,35,1690,SUCCESS
19,0,83,2694,SUCCESS
12,0,28,383,SUCCESS
10,0,29,549,FAIL
68,11,92,2272,SUCCESS
48,6,36,866,SUCCESS
49,6,77,1951,SUCCESS
11,0,77,2570,SUCCESS
12,0,40,1114,SUCCESS
5,0,109,4560,FAIL
41,0,51,1086,SUCCESS
11,0,122,4446,SUCCESS
29,0,48,1429,SUCCESS
8,14,47,1372,SUCCESS
3,0,30,813,SUCCESS
18,5,20,551,FAIL
25,2,37,704,SUCCESS
5,0,30,656,SUCCESS
15,0,38,1067,SUCCESS
88,0,321,5535,SUCCESS
8,0,84,2792,SUCCESS
14,0,28,519,FAIL
4,0,32,899,SUCCESS
52,0,32,685,SUCCESS
45,0,61,1684,SUCCESS
9,0,22,573,SUCCESS
41,0,46,1675,SUCCESS
7,0,62,1540,SUCCESS
3,0,38,944,SUCCESS
36,0,77,2543,FAIL
19,0,25,422,FAIL
0,0,13,327,FAIL
20,5,53,1152,FAIL
19,0,41,652,SUCCESS
13,0,58,1826,FAIL
28,0,74,1593,SUCCESS
13,0,29,441,FAIL
11,0,59,1355,SUCCESS
8,0,34,1002,SUCCESS
8,0,46,2217,FAIL
1,0,85,1729,SUCCESS
15,0,29,888,SUCCESS
15,0,44,988,SUCCESS
8,0,76,1680,SUCCESS
28,0,68,1254,SUCCESS
18,0,62,1917,SUCCESS
5,0,49,971,FAIL
10,5,26,845,SUCCESS
56,5,49,1432,SUCCESS
2,0,20,620,SUCCESS
122,0,87,3634,SUCCESS
7,0,38,1176,SUCCESS
34,0,77,1373,SUCCESS
7,0,25,719,SUCCESS
14,0,72,2490,FAIL
51,0,74,2158,FAIL
4,0,85,2488,SUCCESS
12,2,37,1221,FAIL
21,1,69,1804,SUCCESS
11,0,88,3236,SUCCESS
11,0,28,1074,FAIL
7,0,31,598,SUCCESS
10,1,48,1365,SUCCESS
57,0,171,6337,SUCCESS
22,0,38,1113,SUCCESS
9,2,53,1680,SUCCESS
13,0,44,816,SUCCESS
9,0,24,841,SUCCESS
2,0,19,405,SUCCESS
29,3,38,841,SUCCESS
3,0,35,685,SUCCESS
20,5,45,748,SUCCESS
15,5,14,241,SUCCESS
31,0,127,4447,SUCCESS
5,0,48,1384,SUCCESS
36,0,81,2035,SUCCESS
9,0,49,1021,SUCCESS
32,0,41,1087,SUCCESS
8,0,37,994,SUCCESS
6,0,75,1438,SUCCESS
70,3,61,2221,SUCCESS
42,0,184,3066,FAIL
32,0,38,737,SUCCESS
43,7,77,2084,SUCCESS
0,0,35,823,SUCCESS
19,0,42,798,SUCCESS
5,0,22,395,SUCCESS
23,0,54,1312,SUCCESS
8,0,68,1829,SUCCESS
0,0,24,584,SUCCESS
19,0,43,577,SUCCESS
